Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR,FullName,BOOM
33809-58377:Kyle Kuzma,33809-58377,PF,Kyle,Kuzma,30.359701128148323,67,6000,SAC@LAL,LAL,SAC,,,,,,28.160000000000004,33.8,14.1,23.7,0.12206972962474516,28.0,Kyle Kuzma,11.907197820457842
33809-49675:Derrick White,33809-49675,PG,Derrick,White,24.024138351966595,58,5900,SA@BOS,SAS,BOS,,,,,,23.82,24.6,15.3,17.7,0.3386296155122778,27.4,Derrick White,9.902769908896675
33809-15946:Harrison Barnes,33809-15946,SF,Harrison,Barnes,26.352238441581157,67,5700,SAC@LAL,SAC,LAL,,,,,,25.68,33.2,13.2,21.5,0.9097316942805543,27.65,Harrison Barnes,14.142460661549253
33809-80824:Frank Jackson,33809-80824,PG,Frank,Jackson,12.462711657507947,59,5400,HOU@NO,NOP,HOU,,,,,,22.58,35.2,8.9,18.2,0.028185482359472255,23.85,Frank Jackson,8.567673168470101
33809-85305:Kenrich Williams,33809-85305,SF,Kenrich,Williams,16.62105198910362,38,5300,HOU@NO,NOP,HOU,,,,,,20.52,28.4,9.4,12.5,0.13603071910076447,27.65,Kenrich Williams,7.704295408583956
33809-12368:Nemanja Bjelica,33809-12368,SF,Nemanja,Bjelica,23.416177188648895,68,5200,SAC@LAL,SAC,LAL,,,,,,26.48,25.0,15.3,16.7,0.9097316942805543,31.75,Nemanja Bjelica,11.757798243193749
33809-14512:Marcus Morris,33809-14512,PF,Marcus,Morris,25.216175752527572,68,5100,SA@BOS,BOS,SAS,,,,,,32.279999999999994,34.2,14.7,20.7,0.09267899339316248,38.2,Marcus Morris,11.297167998777784
33809-14523:Reggie Jackson,33809-14523,PG,Reggie,Jackson,25.469445122612854,72,5100,DET@GS,DET,GSW,,,,,,28.220000000000006,25.4,15.5,23.8,0.4436876585033643,30.4,Reggie Jackson,12.090035560417704
33809-23670:Marcus Smart,33809-23670,SG,Marcus,Smart,23.176388210720486,72,5000,SA@BOS,BOS,SAS,,,,,,23.96,28.0,13.0,14.3,0.2741203755925768,22.55,Marcus Smart,8.733929343506896
33809-23981:Alex Caruso,33809-23981,PG,Alex,Caruso,13.673333740234375,15,5000,SAC@LAL,LAL,SAC,,,,,,28.26,26.6,14.9,14.9,0.9932407027012011,31.3,Alex Caruso,11.04797552118755
33809-12511:Ish Smith,33809-12511,PG,Ish,Smith,18.43043451723845,46,4900,DET@GS,DET,GSW,,,,,,25.6,21.6,11.9,19.4,0.4436876585033643,24.65,Ish Smith,9.7272727668953
33809-15636:Kentavious Caldwell-Pope,33809-15636,SG,Kentavious,Caldwell-Pope,17.22777811686198,72,4800,SAC@LAL,LAL,SAC,,,,,,26.020000000000003,29.0,12.3,16.7,0.9537718798989038,23.5,Kentavious Caldwell-Pope,11.507378664478253
33809-9956:Wayne Ellington,33809-9956,SG,Wayne,Ellington,16.097674702489098,43,4800,DET@GS,DET,GSW,,,,,,21.76,27.0,11.4,16.7,0.75647983808866,29.2,Wayne Ellington,10.673512027215015
33809-9556:Eric Gordon,33809-9556,SG,Eric,Gordon,23.940677966101696,59,4700,HOU@NO,HOU,NOP,,,,,,18.919999999999998,31.8,11.9,22.3,0.9662231617134047,18.7,Eric Gordon,13.656401136724444
33809-67026:Jaylen Brown,33809-67026,SG,Jaylen,Brown,23.211765064912683,68,4700,SA@BOS,BOS,SAS,,,,,,25.199999999999996,26.8,13.7,22.0,0.2741203755925768,29.1,Jaylen Brown,10.99333004357757
33809-58378:Jakob Poeltl,33809-58378,C,Jakob,Poeltl,16.583822811351098,68,4600,SA@BOS,SAS,BOS,,,,,,25.619999999999997,20.2,19.4,13.6,0.0037528324457405397,30.45,Jakob Poeltl,7.4991861911826785
33809-23407:PJ Tucker,33809-23407,PF,PJ,Tucker,22.091780153039387,73,4500,HOU@NO,HOU,NOP,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.9931342094097462,,PJ Tucker,
33809-66091:Cheick Diallo,33809-66091,PF,Cheick,Diallo,14.73392813546317,56,4400,HOU@NO,NOP,HOU,,,,,,22.82,19.6,17.7,16.5,0.1178178381888048,24.45,Cheick Diallo,7.860573452610436
33809-55060:Bogdan Bogdanovic,33809-55060,SG,Bogdan,Bogdanovic,26.03114794121414,61,4300,SAC@LAL,SAC,LAL,,,,,,16.1,21.6,13.3,22.6,0.9674388814463598,18.7,Bogdan Bogdanovic,12.332397138358555
33809-70820:Thon Maker,33809-70820,C,Thon,Maker,12.17777732566551,54,4200,DET@GS,DET,GSW,,,,,,16.82,21.8,12.0,15.6,0.9440138779340027,19.55,Thon Maker,9.432143420165993
