"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"60","58","54","2019-02-27","37-347","UTA","","LAC","W (+6)","0","11:45","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","1","1","1","0","-2.1","-6",NA,2
"61","59","55","2019-02-28","37-348","UTA","@","DEN","W (+7)","0","22:10","8","15",".533","6","10",".600","0","0","","0","3","3","2","1","0","2","2","22","15.2","+9",NA,29.1
"62","60","56","2019-03-02","37-350","UTA","","MIL","W (+4)","0","35:08","2","7",".286","1","4",".250","0","0","","1","6","7","0","2","0","1","0","5","4.4","+30",NA,18.4
"64","61","57","2019-03-04","37-352","UTA","","NOP","L (-3)","0","28:56","7","14",".500","5","11",".455","1","1","1.000","0","4","4","1","0","0","0","2","20","14.1","0",NA,26.05
"65","62","58","2019-03-06","37-354","UTA","@","NOP","W (+10)","0","25:15","4","7",".571","2","4",".500","2","2","1.000","0","1","1","3","1","0","0","3","12","10.9","-10",NA,19.95
"66","63","59","2019-03-08","37-356","UTA","@","MEM","L (-10)","0","30:58","4","12",".333","3","11",".273","2","2","1.000","0","5","5","3","1","0","1","3","13","8.6","-4",NA,24.75
"67","64","60","2019-03-11","37-359","UTA","","OKC","L (-9)","0","21:47","1","5",".200","0","3",".000","0","0","","0","2","2","0","2","0","1","3","2","-0.7","-4",NA,9.4
"68","65","61","2019-03-13","37-361","UTA","@","PHO","W (+17)","0","13:02","2","6",".333","2","5",".400","0","0","","0","1","1","1","0","0","1","5","6","0.6","-8",NA,7.45
"69","66","62","2019-03-14","37-362","UTA","","MIN","W (+20)","0","20:11","4","12",".333","3","9",".333","0","0","","0","2","2","2","1","0","0","1","11","6.8","+15",NA,18.9
"70","67","63","2019-03-16","37-364","UTA","","BRK","W (+16)","0","19:18","3","8",".375","3","7",".429","0","0","","0","3","3","1","0","1","1","3","9","4.7","-1",NA,15.85
"71","68","64","2019-03-18","38-001","UTA","@","WAS","W (+21)","0","17:08","3","7",".429","3","6",".500","1","1","1.000","0","0","0","3","0","0","0","0","10","8.4","+5",NA,13.75
"72","69","65","2019-03-20","38-003","UTA","@","NYK","W (+21)","0","20:34","3","9",".333","3","8",".375","0","0","","1","0","1","1","0","0","0","2","9","4.5","+8",NA,11.45
"73","70","66","2019-03-21","38-004","UTA","@","ATL","L (-3)","0","16:49","2","7",".286","1","5",".200","1","4",".250","0","3","3","2","0","0","0","2","6","2.2","-1",NA,12.1
"74","71","67","2019-03-23","38-006","UTA","@","CHI","W (+31)","0","18:07","2","8",".250","1","4",".250","0","0","","1","2","3","4","2","0","2","2","5","3.5","+16",NA,17.6
"75","72","68","2019-03-25","38-008","UTA","","PHO","W (+33)","0","19:56","3","8",".375","3","7",".429","0","0","","0","2","2","1","0","0","0","1","9","5.5","+20",NA,12.65
"76","73","69","2019-03-27","38-010","UTA","","LAL","W (+15)","0","14:35","1","4",".250","1","4",".250","0","0","","0","5","5","2","0","0","0","0","3","3.5","-6",NA,11.5
"77","74","70","2019-03-29","38-012","UTA","","WAS","W (+4)","0","17:57","1","6",".167","1","4",".250","2","2","1.000","0","3","3","2","0","0","2","1","5","1.1","+18",NA,9.1
