"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Var.20","OWS","DWS","WS","WS.48","Var.25","OBPM","DBPM","BPM","VORP","links"
"253","186","Shai Gilgeous-Alexander","PG","20","LAC","82","2174","13.4",".554",".194",".272","2.9","8.3","5.7","17.8","2.1","1.6","15.0","18.3",NA,"1.5","1.9","3.3",".074",NA,"-0.6","0.2","-0.3","0.9","/players/g/gilgesh01.html"
"254","187","Rudy Gobert","C","26","UTA","81","2577","24.6",".682",".000",".733","13.2","30.2","21.9","9.6","1.2","5.8","12.1","17.8",NA,"8.7","5.7","14.4",".268",NA,"2.0","5.1","7.0","5.9","/players/g/goberru01.html"
"255","188","Brandon Goodwin","PG","23","DEN","16","57","8.3",".413",".261",".478","1.9","3.8","2.8","32.1","0.0","0.0","9.7","23.1",NA,"0.0","0.0","0.0",".021",NA,"-4.5","-6.4","-10.9","-0.1","/players/g/goodwbr01.html"
"256","189","Aaron Gordon","PF","23","ORL","78","2633","15.1",".538",".332",".242","5.2","18.4","11.7","16.6","1.1","1.8","12.3","21.8",NA,"1.8","3.3","5.1",".093",NA,"-0.2","1.2","1.0","2.0","/players/g/gordoaa01.html"
"257","190","Eric Gordon","SG","30","HOU","68","2158","12.2",".549",".640",".162","0.9","6.9","3.8","9.4","0.9","1.1","8.2","22.0",NA,"1.7","1.0","2.6",".059",NA,"0.0","-2.9","-2.9","-0.5","/players/g/gordoer01.html"
"258","191","Marcin Gortat","C","34","LAC","47","751","12.8",".562",".000",".258","9.8","26.5","18.4","12.0","0.4","2.5","19.4","14.4",NA,"0.6","0.8","1.4",".089",NA,"-2.5","1.4","-1.1","0.2","/players/g/gortama01.html"
"259","192","Devonte' Graham","PG","23","CHO","46","676","10.3",".459",".560",".213","1.6","8.6","5.0","24.8","1.7","0.3","11.3","17.0",NA,"0.2","0.3","0.5",".035",NA,"-1.6","-2.7","-4.3","-0.4","/players/g/grahade01.html"
"260","193","Treveon Graham","SG","25","BRK","35","715","6.1",".458",".670",".115","3.4","12.3","7.9","6.5","0.9","0.8","7.8","12.8",NA,"-0.1","0.6","0.5",".033",NA,"-2.8","-0.1","-2.9","-0.2","/players/g/grahatr01.html"
"261","194","Jerami Grant","PF","24","OKC","80","2612","13.8",".592",".356",".269","3.7","13.1","8.2","4.2","1.1","3.2","6.8","15.4",NA,"4.0","3.3","7.3",".134",NA,"-0.6","0.9","0.3","1.5","/players/g/grantje01.html"
"262","195","Jerian Grant","PG","26","ORL","60","939","10.8",".526",".500",".182","2.1","9.1","5.6","22.4","2.3","0.5","17.7","13.4",NA,"0.5","1.1","1.7",".085",NA,"-1.9","-0.1","-2.0","0.0","/players/g/grantje02.html"
"263","196","Donte Grantham","SF","23","OKC","3","2","-38.1",".000","1.000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.7",NA,"0.0","0.0","0.0","-0.946",NA,"-25.2","-13.6","-38.9","0.0","/players/g/grantdo01.html"
"264","197","Danny Green","SG","31","TOR","80","2216","13.0",".632",".690",".070","3.0","12.2","7.7","7.7","1.6","2.0","10.4","14.1",NA,"3.0","2.9","5.9",".128",NA,"1.7","1.2","2.9","2.7","/players/g/greenda02.html"
"265","198","Draymond Green","PF","28","GSW","66","2065","12.9",".526",".391",".216","3.2","20.8","12.4","26.8","2.2","2.8","26.8","13.1",NA,"1.1","3.2","4.3",".100",NA,"-1.4","3.4","2.0","2.1","/players/g/greendr01.html"
"266","199","Gerald Green","SG","33","HOU","73","1473","11.4",".555",".763",".118","2.2","11.7","6.8","4.1","1.1","1.6","8.3","19.5",NA,"0.9","1.0","1.9",".061",NA,"-0.8","-2.6","-3.4","-0.5","/players/g/greenge01.html"
"267","200","JaMychal Green","PF","28","TOT","65","1371","14.7",".587",".370",".212","8.3","24.3","16.4","5.8","1.6","2.3","14.3","19.4",NA,"0.9","1.9","2.9",".101",NA,"-1.5","0.0","-1.5","0.2","/players/g/greenja01.html"
"268","200","JaMychal Green","PF","28","MEM","41","900","14.9",".580",".308",".256","8.8","22.8","15.7","6.5","1.8","2.7","15.6","20.4",NA,"0.4","1.4","1.8",".094",NA,"-2.1","0.6","-1.4","0.1","/players/g/greenja01.html"
"269","200","JaMychal Green","PF","28","LAC","24","471","14.3",".600",".488",".128","7.4","27.3","17.7","4.3","1.2","1.3","11.7","17.6",NA,"0.5","0.6","1.1",".113",NA,"-0.4","-1.3","-1.7","0.0","/players/g/greenja01.html"
"271","201","Jeff Green","PF","32","WAS","77","2097","13.6",".608",".466",".300","2.9","13.3","8.0","9.2","1.0","1.6","11.5","17.8",NA,"2.8","0.8","3.6",".083",NA,"0.2","-1.4","-1.2","0.4","/players/g/greenje02.html"
"272","202","Blake Griffin","PF","29","DET","75","2622","21.0",".581",".389",".410","4.0","20.1","11.8","27.1","1.0","0.9","13.8","30.2",NA,"5.1","2.9","8.0",".147",NA,"4.2","0.4","4.6","4.4","/players/g/griffbl01.html"
"273","203","Daniel Hamilton","SG","23","ATL","19","204","7.1",".455",".383",".100","5.0","19.5","12.1","14.5","1.4","0.4","20.3","15.7",NA,"-0.2","0.1","-0.1","-0.024",NA,"-5.0","-0.9","-5.8","-0.2","/players/h/hamilda02.html"
"274","204","Dusty Hannahs","SG","25","MEM","2","26","4.5",".311",".417",".167","0.0","4.4","2.2","28.8","1.9","0.0","7.2","23.9",NA,"-0.1","0.0","-0.1","-0.125",NA,"-7.2","-5.1","-12.2","-0.1","/players/h/hannadu01.html"
"275","205","Tim Hardaway","SG","26","TOT","65","2057","13.6",".527",".480",".278","1.7","9.8","5.7","12.8","1.3","0.3","8.6","25.4",NA,"1.0","0.9","1.8",".043",NA,"0.5","-2.9","-2.4","-0.2","/players/h/hardati02.html"
"276","205","Tim Hardaway","SG","26","NYK","46","1499","14.4",".531",".464",".321","1.8","9.7","5.6","13.5","1.4","0.3","8.9","25.9",NA,"1.0","0.5","1.5",".048",NA,"0.9","-3.0","-2.0","0.0","/players/h/hardati02.html"
"277","205","Tim Hardaway","SG","26","DAL","19","558","11.6",".514",".524",".161","1.4","10.3","5.9","10.9","1.0","0.3","7.7","23.9",NA,"0.0","0.4","0.4",".030",NA,"-0.8","-2.5","-3.3","-0.2","/players/h/hardati02.html"
