Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
4,3,SF,6-7,215,"December 19, 1990",us,1,USC Upstate,DEN,
5,6,PG,6-2,180,"October 2, 1995",us,R,"Central Florida, Florida Gulf Coast",DEN,
6,14,SG,6-4,210,"September 14, 1994",us,4,Michigan State,DEN,
7,41,PF,6-9,230,"September 28, 1995",es,2,,DEN,
8,15,C,7-0,250,"February 19, 1995",rs,3,,DEN,
9,20,PF,6-10,225,"April 9, 1996",us,1,Syracuse,DEN,
10,7,PF,6-10,234,"November 5, 1995",ca,3,Kentucky,DEN,
11,4,PF,6-8,246,"February 10, 1985",us,12,Louisiana Tech,DEN,
12,11,PG,6-3,175,"June 27, 1995",us,1,Iowa State,DEN,
13,27,PG,6-4,207,"February 23, 1997",ca,2,Kentucky,DEN,
14,24,C,6-11,235,"March 5, 1990",us,5,Duke,DEN,
15,0,SG,5-9,185,"February 7, 1989",us,7,Washington,DEN,
16,8,PF,6-9,214,"April 3, 1999",us,R,Kentucky,DEN,
17,45,C,7-0,255,"February 3, 1996",us,R,UCLA,DEN,
18,34,SG,6-7,210,"June 1, 1985",us,11,USC,DEN,
1,6,SG,6-5,202,"August 15, 1996",us,R,Miami (FL),DET,
2,25,SG,6-7,205,"March 16, 1991",us,5,UNC,DET,
3,81,PG,6-3,200,"September 28, 1981",es,13,,DET,
4,0,C,6-11,279,"August 10, 1993",us,6,UConn,DET,
5,8,PF,6-11,245,"January 13, 1997",us,2,Marquette,DET,
6,20,SG,6-5,200,"November 29, 1987",us,9,UNC,DET,
7,9,SG,6-2,200,"December 9, 1991",us,4,Saint Joseph's,DET,
8,23,PF,6-10,250,"March 16, 1989",us,8,Oklahoma,DET,
9,1,PG,6-3,208,"April 16, 1990",it,7,Boston College,DET,
10,7,SF,6-7,245,"May 29, 1996",us,3,Arizona,DET,
11,5,SG,6-5,206,"June 24, 1996",us,1,Duke,DET,
12,30,PF,6-10,228,"May 14, 1989",us,7,Wisconsin,DET,
