,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
144,Dwayne Bacon,2.9,1.5,2.0,0.4,0.0,0.2,0.469,0.44,0.374,0.889,0.0,0.5
145,Dwight Howard,1.1,0.9,0.0,7.7,1.9,1.8,0.5,0.444,0.0,0.718,0.467,0.583
146,Dwight Powell,1.0,1.5,0.0,6.1,0.2,1.5,0.5479999999999999,0.29,0.16699999999999998,0.754,0.5,0.7070000000000001
147,Dwyane Wade,5.2,1.6,5.2,1.5,0.8,0.6,0.473,0.389,0.349,0.529,0.491,0.513
148,Dzanan Musa,0.9,0.3,0.4,0.4,0.0,0.4,0.667,0.14300000000000002,0.25,1.0,0.0,1.0
149,E'Twaun Moore,2.9,3.7,2.5,2.0,0.0,1.0,0.507,0.433,0.426,0.632,0.5,0.5479999999999999
150,Ed Davis,0.1,0.0,0.0,4.5,0.1,1.2,0.2,0.0,0.0,0.636,0.5,0.537
151,Edmond Sumner,0.6,0.8,0.4,0.6,0.0,0.2,0.28600000000000003,0.25,0.444,0.667,0.0,0.5
152,Ekpe Udoh,0.0,0.0,0.0,2.1,0.1,0.5,0.0,0.33299999999999996,0.0,0.825,0.6,0.579
153,Elfrid Payton,4.8,1.9,0.8,1.3,0.0,0.2,0.46,0.33299999999999996,0.33299999999999996,0.5529999999999999,0.5,0.28600000000000003
154,Elie Okobo,1.6,1.3,1.5,0.3,0.0,0.2,0.381,0.29100000000000004,0.29600000000000004,0.778,0.0,0.8
155,Emanuel Terry,0.0,0.0,0.0,3.0,0.0,0.7,0.0,0.0,0.0,0.5710000000000001,0.0,0.0
156,Emmanuel Mudiay,5.5,2.3,5.0,0.7,0.1,0.2,0.469,0.34299999999999997,0.43799999999999994,0.68,0.28600000000000003,0.6
157,Enes Kanter,0.5,0.8,0.1,7.3,3.6,1.7,0.308,0.28,0.4,0.64,0.513,0.627
158,Eric Bledsoe,6.1,2.3,3.4,1.4,0.1,0.3,0.569,0.281,0.386,0.662,1.0,0.769
159,Eric Gordon,4.4,7.6,2.2,0.6,0.1,0.2,0.467,0.379,0.297,0.7240000000000001,0.667,0.5
160,Eric Moreland,0.0,0.6,0.0,0.4,0.4,0.4,0.0,1.0,0.0,0.5,1.0,0.5
161,Ersan Ilyasova,0.2,2.6,0.6,2.5,0.1,0.6,0.368,0.361,0.311,0.557,0.25,0.47200000000000003
162,Evan Fournier,4.5,4.5,3.8,1.0,0.0,0.5,0.47600000000000003,0.376,0.368,0.6609999999999999,0.5,0.513
