Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Gorgui Dieng,120,121,16.0,3.0,5.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,9.0,15.0
Amir Johnson,121,122,14.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,2.0,16.7
Alex Len,122,123,14.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,12.4
Marvin III,123,124,16.0,3.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,7.0,18.5
Rodney McGruder,124,125,32.0,3.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,7.0,16.4
Bryn Forbes,126,127,29.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,12.0,14.5
Mario Hezonja,127,128,20.0,5.0,12.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,11.0,16.3
Frank Mason,128,129,17.0,2.0,8.0,1.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,6.0,20.1
Jeff Teague,129,130,32.0,2.0,12.0,5.0,5.0,0.0,3.0,5.0,2.0,0.0,2.0,9.0,24.1
Dante Cunningham,130,131,26.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,13.3
Iman Shumpert,131,132,26.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,10.7
Brook Lopez,132,133,28.0,3.0,10.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,9.0,17.3
Pau Gasol,133,134,14.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,2.0,0.0,20.5
Monte Morris,134,135,24.0,3.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,7.0,17.0
Damyean Dotson,135,136,28.0,4.0,10.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,10.0,14.0
Jeremy Lin,136,137,9.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,7.4
Vince Carter,137,138,20.0,2.0,7.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,4.0,16.8
DeAndre' Bembry,138,139,24.0,2.0,7.0,1.0,2.0,1.0,6.0,2.0,1.0,0.0,2.0,5.0,17.4
Allen Crabbe,139,140,25.0,2.0,8.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,11.9
Yogi Ferrell,140,141,8.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.2
Josh Hart,141,142,24.0,2.0,8.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,5.0,16.7
John Henson,142,143,10.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,12.5
Jahlil Okafor,143,144,17.0,4.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,9.0,10.6
Quincy Pondexter,144,145,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,8.6
Trey Burke,145,146,14.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Lorenzo Brown,147,148,19.0,2.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,20.8
Jalen Brunson,148,149,14.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,6.5
Tyus Jones,149,150,15.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.5
J.J. Barea,150,151,15.0,3.0,8.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,7.0,12.8
Dwyane Wade,151,152,27.0,2.0,10.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,8.0,14.1
Jaylen Adams,152,153,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.2
Jordan Bell,153,154,17.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,3.0,16.4
Andre Iguodala,154,155,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.2
