Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Amir Johnson,115,116,12.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,10.3
Sviatoslav Mykhailiuk,116,117,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Jake Layman,117,118,12.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,4.9
Wesley Iwundu,118,119,15.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.7
Jerian Grant,119,120,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnathan Williams,120,121,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Landry Shamet,121,122,22.0,2.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,13.2
Abdel Nader,122,123,15.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,6.2
Jerryd Bayless,123,124,12.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,5.9
Anfernee Simons,125,126,10.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.9
Robin Lopez,126,127,14.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.8
