Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Wesley Matthews,46,47,33.0,4.0,10.0,5.0,6.0,1.0,5.0,4.0,1.0,0.0,0.0,13.0,29.2
Serge Ibaka,47,48,28.0,6.0,10.0,0.0,0.0,3.0,11.0,0.0,0.0,3.0,3.0,14.0,36.8
Enes Kanter,48,49,29.0,5.0,7.0,7.0,10.0,3.0,8.0,0.0,0.0,2.0,5.0,17.0,31.2
Robert Covington,49,50,35.0,5.0,9.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,13.0,30.3
Stanley Johnson,50,51,22.0,5.0,10.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,13.0,26.7
Justin Holiday,51,52,38.0,6.0,16.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,17.0,32.2
Noah Vonleh,52,53,38.0,4.0,10.0,1.0,2.0,3.0,10.0,2.0,2.0,1.0,1.0,11.0,37.6
Blake Griffin,53,54,35.0,7.0,17.0,5.0,6.0,1.0,4.0,3.0,1.0,0.0,3.0,20.0,30.5
Paul George,54,55,38.0,7.0,16.0,3.0,4.0,1.0,6.0,2.0,2.0,0.0,3.0,18.0,32.4
Zach LaVine,55,56,37.0,9.0,26.0,2.0,2.0,0.0,5.0,4.0,0.0,1.0,1.0,22.0,36.0
Julius Randle,56,57,23.0,5.0,8.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,2.0,12.0,23.5
Allonzo Trier,57,58,36.0,5.0,9.0,5.0,7.0,1.0,3.0,1.0,1.0,0.0,2.0,16.0,23.3
DeAndre Jordan,58,59,31.0,2.0,5.0,7.0,8.0,1.0,11.0,3.0,1.0,2.0,4.0,11.0,34.9
Jonas Valanciunas,59,60,19.0,4.0,7.0,3.0,4.0,2.0,8.0,1.0,0.0,1.0,1.0,11.0,26.5
Cory Joseph,60,61,31.0,4.0,6.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,9.0,24.8
Mason Plumlee,61,62,22.0,4.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,10.0,25.7
Kyle Anderson,63,64,32.0,5.0,9.0,3.0,4.0,0.0,5.0,1.0,1.0,0.0,2.0,14.0,22.5
Langston Galloway,64,65,26.0,4.0,8.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,12.0,22.7
Darius Miller,65,66,19.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,16.7
OG Anunoby,66,67,23.0,5.0,9.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,11.0,22.4
Gary Harris,67,68,32.0,6.0,16.0,5.0,6.0,1.0,1.0,2.0,0.0,0.0,3.0,20.0,22.4
Jerami Grant,68,69,27.0,4.0,9.0,2.0,2.0,1.0,7.0,0.0,1.0,1.0,1.0,12.0,26.6
